	14517X1	14517X2	14517X3	14517X10	14517X11	14517X12
R0010W	0	0	0	0	0	0
R0020C	0	0	0	0	0	0
R0030W	0	0	0	0	0	0
R0040C	0	0	0	0	0	0
YAL068C	1	0	0	1	0	1
YAL067W-A	0	0	0	0	0	0
YAL067C	9	13	12	18	16	20
YAL065C	1	1	0	0	0	0
YAL064W-B	6	5	4	5	4	7
YAL064C-A	0	0	0	0	0	1
YAL064W	2	2	0	3	3	1
YAL063C-A	6	3	5	11	5	9
YAL063C	11	13	10	12	13	10
YAL062W	120	99	91	366	352	306
YAL061W	157	126	58	191	159	159
YAL060W	1570	1121	612	1963	1680	1501
YAL059W	716	558	664	393	413	425
YAL058W	461	365	388	390	439	395
YAL056W	1082	886	822	1137	937	926
YAL055W	82	63	55	60	83	51
YAL054C	156	139	80	263	208	157
YAL053W	3584	2717	2400	6507	5497	5147
YAL051W	616	486	503	798	788	760
YAL049C	615	448	442	706	678	646
YAL048C	357	297	231	309	328	253
YAL047C	273	206	177	229	228	214
YAL046C	237	199	212	94	145	136
YAL044W-A	381	316	321	335	396	368
YAL044C	1667	1436	1316	1303	1620	1478
YAL043C	965	782	740	1053	1102	1026
YAL042W	3413	2675	2547	2720	2828	2639
YAL041W	1065	828	812	1242	1126	1125
YAL040C	255	170	171	227	257	299
YAL039C	497	415	322	662	704	633
YAL038W	171031	141906	132622	103312	109650	102627
YAL037C-A	2	2	1	4	1	1
YAL037W	41	36	63	70	78	66
YAL036C	1144	1021	1099	1172	1284	1273
YAL035W	7053	6021	6018	4910	5019	4656
YAL034W-A	95	75	66	102	112	105
YAL034C	644	540	323	1179	991	869
YAL033W	400	328	355	296	320	295
YAL032C	393	298	252	437	428	392
YAL031C	712	571	391	685	564	496
YAL030W	410	305	315	449	435	418
YAL029C	1965	1526	1684	2354	2204	2140
YAL028W	387	301	163	482	402	370
YAL027W	191	149	142	213	204	194
YAL026C	2120	1682	1780	2204	2031	2054
HRA1	0	0	1	3	4	1
YAL025C	262	256	279	149	234	247
YAL024C	429	360	473	760	744	796
YAL023C	5998	4926	5125	3970	4112	3981
YAL022C	871	692	825	745	734	717
YAL021C	1494	1215	1045	1108	1201	1246
YAL020C	182	161	159	232	205	195
YAL019W	1856	1488	1609	1922	2139	2068
YAL018C	3	0	0	6	6	3
YAL017W	1794	1268	825	2058	1587	1527
YAL016W	2992	2257	2014	3188	2746	2475
YAL015C	378	289	238	438	401	367
YAL014C	522	483	411	594	583	579
YAL013W	167	149	132	192	247	207
YAL012W	4786	3837	3733	4748	5251	4868
YAL011W	240	216	194	338	336	343
YAL010C	405	310	269	510	494	459
YAL009W	269	180	211	243	238	221
YAL008W	187	149	138	291	281	289
YAL007C	1317	1035	1108	935	973	907
tP(UGG)A	0	0	0	0	1	1
YAL005C	15924	13558	10950	28214	27212	26521
YAL003W	18411	14797	19291	13624	15979	15781
snR18	140	161	175	187	126	126
YAL002W	677	492	498	817	818	813
YAL001C	892	686	671	1113	939	954
YAR002W	741	599	747	595	656	680
YAR002C-A	2216	1752	1783	1640	1545	1493
YAR003W	233	195	203	252	307	274
YAR007C	1138	914	821	868	858	757
YAR008W	132	93	110	62	82	81
tA(UGC)A	1	0	0	1	2	2
YAR014C	1004	830	713	863	1074	916
YAR015W	2646	2130	1463	1117	1204	1023
YAR018C	349	283	282	379	386	355
YAR019C	342	285	227	430	431	374
YAR020C	14	10	8	39	28	22
YAR023C	138	116	100	113	108	105
tL(CAA)A	1	0	2	5	1	4
tS(AGA)A	2	1	0	1	0	0
YAR027W	1033	798	833	1589	1268	1155
YAR028W	260	231	282	218	215	202
YAR029W	27	30	28	32	29	33
YAR031W	131	107	75	36	28	24
YAR033W	52	38	38	31	25	29
YAR035W	176	138	74	162	181	136
YAR035C-A	0	0	0	1	0	0
YAR042W	1938	1459	1281	3678	3629	3518
YAR050W	17	19	14	18	10	17
YAR064W	0	0	0	0	0	0
YAR066W	0	0	0	0	0	0
YAR068W	0	1	0	0	0	0
YAR071W	158	131	134	44	47	55
YBL113C	37	31	23	41	51	43
YBL112C	0	0	0	0	0	0
YBL111C	0	0	0	0	0	0
YBL108C-A	0	0	0	8	2	2
tL(UAA)B1	0	0	0	1	0	0
YBL107C	239	162	167	152	174	163
YBL106C	467	350	384	1212	1160	1015
YBL105C	1288	1010	860	1176	1130	1048
YBL104C	491	398	468	565	599	556
YBL103C	538	394	347	511	476	477
YBL102W	725	558	523	551	445	458
YBL101C	1393	1001	613	1664	1427	1372
YBL100W-C	5	2	1	2	7	4
tF(GAA)B	0	1	0	3	0	0
YBL099W	5124	4064	3404	5252	4874	4564
YBL098W	221	203	203	327	309	276
YBL097W	98	77	70	119	108	98
YBL095W	192	137	152	167	175	178
YBL093C	767	615	708	2588	2985	2949
YBL092W	25740	20845	22695	12580	13002	12214
YBL091C-A	265	214	142	257	259	235
YBL091C	2152	1761	1578	1396	1443	1285
YBL090W	526	411	432	420	479	363
YBL089W	251	200	212	277	265	238
YBL088C	1115	845	802	1163	1056	1039
YBL087C	6491	5426	5846	2473	2785	2526
YBL086C	591	477	366	548	528	482
YBL085W	1511	1172	1025	1480	1455	1312
YBL084C	234	183	194	353	345	363
YBL082C	573	479	515	450	451	436
YBL081W	110	105	107	78	118	123
YBL080C	218	192	175	287	257	238
YBL079W	2214	1743	1914	2477	2451	2487
YBL078C	495	356	205	880	759	689
YBL076C	22072	18098	17734	12602	11815	11389
YBL075C	246	219	190	2854	2838	2511
YBL074C	103	90	116	227	206	185
snR56	41	18	13	15	20	15
YBL072C	7145	5498	5886	2704	3212	3174
YBL071C-B	4	3	1	3	11	4
YBL071W-A	249	231	275	665	735	741
YBL069W	511	482	448	600	613	625
YBL068W	775	610	599	611	580	570
YBL067C	1584	1211	1207	1598	1501	1408
YBL066C	309	209	200	334	337	374
YBL064C	729	545	345	1607	1355	1205
YBL063W	306	193	232	368	384	357
YBL061C	913	759	716	1115	1064	946
YBL060W	142	99	116	173	194	209
YBL059C-A	300	230	267	244	222	228
YBL059W	129	99	105	133	137	154
YBL058W	2428	1940	1830	2235	2180	2132
YBL057C	732	646	574	646	657	675
YBL056W	2924	2299	1945	2930	2321	2273
YBL055C	857	756	632	981	880	821
YBL054W	334	299	444	708	845	865
YBL052C	586	413	410	348	335	276
YBL051C	1240	968	835	1182	1245	1199
YBL050W	875	696	577	1108	996	947
YBL049W	32	28	11	366	320	259
YBL047C	5387	4036	3819	5894	5348	5207
YBL046W	175	156	151	196	208	150
YBL045C	1825	1428	1212	1243	1177	1105
YBL044W	7	5	5	5	6	9
YBL043W	35	16	31	31	30	53
YBL042C	640	578	718	574	566	551
YBL041W	2018	1533	1382	1780	1699	1554
YBL040C	718	578	716	930	762	771
YBL039W-B	157	115	67	169	147	111
YBL039C	5126	4641	4783	2860	3244	3067
YBL038W	520	482	417	689	617	510
YBL037W	678	484	480	833	778	729
YBL036C	556	468	510	504	460	489
YBL035C	294	232	298	327	351	384
YBL034C	422	351	400	656	662	674
YBL033C	577	482	391	1217	1257	1206
YBL032W	2007	1488	1528	1246	1430	1278
YBL031W	193	201	177	182	223	203
YBL030C	1613	1314	1198	1481	1334	1214
YBL029C-A	199	205	190	331	309	285
YBL029W	69	75	64	88	89	83
YBL028C	944	805	1048	916	1004	960
YBL027W	18898	15183	15623	7461	8596	7949
YBL026W	855	599	782	894	759	713
YBL025W	131	107	98	132	155	143
YBL024W	2725	2193	2278	1788	1885	1888
YBL023C	694	620	653	1010	952	938
YBL022C	3995	3110	2944	3495	3213	3039
YBL021C	152	136	139	215	196	220
YBL020W	729	552	589	590	600	569
YBL019W	278	267	200	283	279	233
YBL018C	218	164	216	275	283	216
YBL017C	4434	3321	3041	4735	3586	3499
YBL016W	546	489	542	337	417	352
YBL015W	856	662	446	905	945	860
tI(AAU)B	0	0	0	0	0	0
tG(GCC)B	0	0	0	0	0	0
YBL014C	471	467	571	630	740	703
YBL013W	88	59	87	88	101	110
YBL011W	2032	1566	1480	2261	2088	2005
YBL010C	136	98	127	170	192	214
YBL009W	310	246	288	338	373	369
YBL008W-A	0	0	0	1	1	1
YBL008W	387	319	345	492	471	458
YBL007C	6332	4865	4614	5928	5705	5648
YBL006C	638	483	581	632	732	681
YBL005W	335	285	282	316	286	296
tS(AGA)B	1	1	3	1	3	1
YBL004W	5800	4665	5439	4975	4741	4765
YBL003C	2288	1905	1852	408	458	386
YBL002W	6042	4786	4265	1648	2045	1932
YBL001C	706	595	610	822	883	736
YBR001C	377	321	231	421	421	410
YBR002C	435	335	369	340	442	425
YBR003W	738	617	471	713	653	634
YBR004C	768	517	527	1020	1056	864
YBR005W	1542	1318	1263	1496	1364	1146
YBR006W	296	258	177	542	438	414
YBR007C	334	272	342	545	582	568
YBR008C	220	187	208	396	378	388
YBR009C	3882	3230	2764	1315	1518	1381
YBR010W	3590	2840	2548	1440	1329	1226
YBR011C	16513	13157	12349	12336	13528	12719
YBR013C	98	47	63	82	92	80
tT(AGU)B	1	0	0	3	3	0
YBR014C	401	320	321	719	642	557
YBR015C	2488	2002	1914	1682	1637	1562
YBR016W	531	413	416	766	822	839
YBR017C	2338	1926	2060	1866	2050	1954
YBR018C	50	32	24	69	55	54
YBR019C	46	26	33	63	46	44
YBR020W	46	37	15	61	52	52
YBR021W	61	74	92	76	49	86
YBR022W	263	228	199	191	191	172
YBR023C	1943	1516	1624	2455	2089	2142
YBR024W	279	183	185	340	304	280
YBR025C	8888	7420	6891	4375	4250	4024
YBR026C	997	833	689	1085	969	853
YBR028C	555	500	575	607	663	652
YBR029C	968	689	699	763	804	700
YBR030W	395	327	365	414	379	444
YBR031W	7197	5821	5228	2431	2587	2355
YBR033W	101	58	20	87	57	52
YBR034C	1530	1382	1581	1342	1650	1651
YBR035C	1289	1035	895	1226	1176	1059
snR161	264	264	326	400	282	221
TLC1	3722	3046	2942	3554	3181	2675
YBR036C	2187	1705	1525	2969	2582	2470
YBR037C	298	235	224	300	297	273
YBR038W	445	355	385	490	506	516
YBR039W	1949	1598	1350	1954	1919	1806
YBR040W	32	20	27	6	5	7
YBR041W	898	701	762	1017	862	831
YBR042C	492	424	473	595	586	574
YBR043C	416	340	395	632	629	611
YBR044C	453	351	330	455	478	433
tV(UAC)B	1	1	0	0	0	1
YBR045C	78	51	48	134	103	130
YBR046C	281	203	149	738	632	608
YBR047W	96	76	52	363	275	263
YBR048W	9134	7572	8076	3525	4076	3810
YBR049C	949	815	970	949	1058	1082
YBR050C	115	63	30	98	59	48
YBR052C	1242	986	827	1162	933	857
YBR053C	621	522	395	973	787	685
YBR054W	480	419	483	485	441	481
YBR055C	617	482	610	765	810	771
tL(UAA)B2	0	0	0	0	0	0
YBR056W	1799	1495	1154	2919	2281	1958
tQ(UUG)B	0	0	0	0	0	0
YBR057C	635	532	434	629	616	595
YBR058C	1460	1178	1090	1323	1258	1185
YBR058C-A	561	495	582	549	552	529
YBR059C	1410	1016	881	1602	1631	1551
YBR060C	541	421	454	373	418	383
YBR061C	558	497	499	384	444	444
YBR062C	329	251	296	353	331	324
YBR063C	160	141	155	337	333	328
YBR065C	225	189	225	464	431	421
YBR066C	282	294	309	1887	1488	1226
YBR067C	2111	1786	1459	1327	1339	1087
YBR068C	4911	3694	3649	7135	6549	6725
YBR069C	2104	1913	2380	2607	2671	2784
YBR070C	217	203	189	307	315	240
YBR071W	862	768	734	2063	1979	1816
YBR072W	550	476	277	10710	9866	8689
YBR072C-A	2	0	1	2	7	3
YBR073W	1593	1334	1344	1956	1976	1916
YBR074W	1441	1133	1468	1470	1494	1497
YBR076W	24	15	17	31	28	26
YBR077C	501	412	427	737	651	625
YBR078W	7531	5837	5641	4542	4945	4818
YBR079C	4951	4200	4573	3612	3732	3919
YBR080C	1777	1378	1318	2120	1943	1816
YBR081C	846	709	703	931	870	856
tR(UCU)B	0	0	0	0	0	0
tD(GUC)B	0	0	0	1	0	0
YBR082C	3101	2557	2370	3400	3567	3321
YBR083W	584	415	302	308	307	286
YBR084W	5925	5076	5016	3223	3515	3361
YBR084C-A	12468	9897	10786	5739	6713	6228
YBR085W	187	153	174	148	136	146
YBR085C-A	3151	2432	1133	5278	4488	4090
YBR086C	3900	2898	2824	2986	2842	2600
YBR087W	632	508	509	494	471	450
YBR088C	840	761	781	519	506	522
YBR089C-A	353	339	245	416	391	356
YBR090C	11	8	5	12	11	8
YBR091C	71	64	69	88	103	116
YBR092C	2647	2135	2594	894	1026	1016
YBR093C	1019	957	905	639	710	622
YBR094W	697	564	567	660	682	646
YBR095C	575	421	416	760	738	670
YBR096W	752	602	624	894	798	766
YBR097W	542	393	428	575	540	547
YBR098W	196	138	156	371	337	292
YBR101C	1309	1463	1267	3210	2970	3079
YBR102C	680	537	520	832	759	632
YBR103W	325	287	255	368	386	332
YBR104W	344	270	357	218	263	243
YBR105C	552	455	338	1400	1748	1891
YBR106W	4821	4091	4508	4223	4431	4064
YBR107C	190	134	145	145	119	164
YBR108W	573	427	266	675	596	648
YBR109C	2482	1992	1937	3259	2923	2586
YBR110W	744	548	540	735	652	673
YBR111C	1598	1282	1171	1238	1102	1042
YBR111W-A	264	246	252	358	306	302
YBR112C	1926	1485	1259	1653	1653	1585
YBR114W	755	573	460	1038	1040	969
YBR115C	2743	2218	2346	1904	1822	1789
YBR117C	41	24	16	308	233	204
YBR118W	24532	20310	19343	12867	13574	11935
YBR119W	221	201	170	362	329	359
YBR120C	228	186	151	191	158	157
YBR121C	12086	10079	9367	7098	6870	6333
YBR122C	675	597	564	668	643	628
YBR123C	464	353	345	505	491	477
YBR125C	446	362	356	717	642	596
YBR126C	5477	4324	2677	6918	5879	5376
YBR127C	14124	11775	10884	10779	10910	10144
YBR128C	67	57	60	103	114	107
YBR129C	490	368	373	355	392	340
YBR130C	748	641	594	514	580	555
YBR131W	252	183	220	354	378	332
YBR132C	807	569	322	751	597	489
YBR133C	662	546	570	787	729	698
YBR135W	420	340	371	513	566	522
YBR136W	812	606	684	1139	1086	1137
YBR137W	431	336	282	456	384	363
YBR138C	180	117	99	286	199	194
YBR139W	1467	1182	677	2203	1698	1690
YBR140C	2481	1832	1769	2829	2312	2467
YBR141C	255	170	170	212	264	286
YBR142W	1836	1534	1617	1583	1486	1497
YBR143C	4792	4071	3976	2922	2889	2830
YBR145W	828	568	311	618	502	420
YBR146W	1039	825	652	632	664	561
YBR147W	146	89	32	183	126	105
YBR148W	62	45	41	81	73	70
YBR149W	2112	1614	1315	3969	3633	3428
YBR150C	674	566	459	1206	1014	852
YBR151W	1337	1000	976	1095	1043	975
YBR152W	150	155	160	199	218	251
YBR153W	268	233	234	282	328	314
YBR154C	1923	1637	1628	1592	1573	1474
YBR155W	481	437	414	409	566	520
YBR156C	283	230	228	415	469	411
YBR157C	377	330	337	367	370	374
YBR158W	2726	2203	2476	1080	1345	1242
YBR159W	1272	1062	1133	855	819	796
YBR160W	713	570	542	982	952	883
YBR161W	303	203	150	376	337	352
YBR162C	3817	3133	2774	3517	3598	3361
YBR162W-A	1032	901	1115	1354	1244	1223
YBR163W	430	341	325	552	506	499
YBR164C	500	420	401	431	426	396
YBR165W	253	216	210	420	387	343
YBR166C	500	397	396	463	508	460
YBR167C	172	148	163	157	183	153
YBR168W	230	185	175	229	251	219
YBR169C	1639	1412	1045	3634	3225	3008
YBR170C	783	636	496	1108	1075	975
YBR171W	939	743	741	864	817	791
YBR172C	1214	986	995	1515	1642	1552
YBR173C	969	834	809	1207	1322	1259
YBR175W	329	251	279	339	341	364
YBR176W	175	153	173	262	289	277
YBR177C	994	823	647	1050	900	897
YBR179C	494	405	443	572	601	568
YBR180W	5	4	3	12	13	9
YBR181C	6249	4852	5295	1998	2203	2018
YBR182C	248	205	212	757	608	513
YBR182C-A	1	1	0	5	1	0
YBR183W	288	205	144	666	492	446
YBR184W	48	40	41	31	42	29
YBR185C	370	262	263	281	251	253
YBR186W	14	11	6	31	20	24
YBR187W	1354	1163	1154	520	563	565
YBR188C	220	178	186	412	390	373
YBR189W	20024	16090	18148	5914	6734	6201
YBR191W	13101	11107	11911	5615	5732	5191
YBR192W	299	200	220	250	232	239
YBR193C	397	304	257	409	403	388
YBR194W	187	157	109	276	207	218
YBR195C	233	193	287	324	406	390
YBR196C	41701	34371	32401	33846	32528	30198
YBR196C-A	13	8	11	7	8	5
YBR196C-B	8	10	8	8	9	10
YBR197C	316	280	270	386	492	394
YBR198C	1100	894	922	1062	1115	961
YBR199W	2037	1451	1217	2514	2316	2176
YBR200W	731	606	530	930	999	929
YBR200W-A	0	0	0	0	1	0
YBR201W	259	230	241	453	464	383
YBR201C-A	138	93	60	88	91	80
YBR202W	797	652	827	1103	1056	1022
YBR203W	684	524	337	829	663	572
YBR204C	528	347	270	625	564	500
YBR205W	1735	1457	1364	1335	1311	1229
YBR207W	855	682	587	1788	1528	1478
YBR208C	1358	1078	1038	1191	1088	986
tC(GCA)B	0	0	0	0	0	0
tE(UUC)B	2	0	0	0	0	0
YBR210W	230	210	222	228	262	260
YBR211C	262	201	155	294	275	253
YBR212W	1051	696	459	1080	1037	958
YBR213W	118	96	121	133	174	174
YBR214W	1461	1181	617	1891	1536	1492
YBR215W	408	348	316	565	610	525
YBR216C	487	366	303	423	413	401
YBR217W	175	128	131	160	165	129
YBR218C	5003	3659	2990	2016	1802	1613
YBR219C	1	1	0	0	0	0
YBR220C	303	303	304	281	284	268
YBR221C	6629	5223	5002	4532	4426	4084
YBR221W-A	3	1	0	4	0	1
YBR222C	1653	1239	1171	2168	2139	2150
YBR223C	406	309	197	397	358	279
YBR225W	659	479	428	892	774	719
YBR227C	522	433	384	441	434	415
YBR228W	149	118	108	162	178	145
YBR229C	1623	1335	1439	1509	1411	1376
YBR230C	403	318	171	404	316	269
YBR230W-A	26	23	19	32	19	15
LSR1	125090	106875	121363	222092	173674	162199
YBR231C	86	66	70	148	142	145
YBR233W	150	142	149	249	253	258
YBR233W-A	150	142	180	143	168	155
YBR234C	1693	1338	1098	1383	1295	1279
YBR235W	445	316	325	591	511	529
YBR236C	808	629	620	897	911	870
YBR237W	437	345	307	435	390	366
YBR238C	799	601	694	724	815	813
YBR239C	180	142	128	235	209	209
YBR240C	82	66	75	91	91	98
YBR241C	382	277	221	720	650	562
YBR242W	381	337	431	360	447	425
YBR243C	465	385	380	304	320	314
YBR244W	862	671	815	712	711	721
YBR245C	1616	1255	1216	998	1016	902
YBR246W	641	545	532	596	629	620
YBR247C	1081	995	1167	1042	1361	1185
YBR248C	1312	978	807	701	735	741
YBR249C	4856	3923	3403	2030	2063	1983
YBR250W	42	25	20	33	30	40
YBR251W	375	306	306	388	380	349
YBR252W	654	542	557	340	361	365
YBR253W	304	252	263	240	260	263
YBR254C	313	267	293	359	356	303
YBR255W	343	261	199	521	488	438
YBR255C-A	110	63	68	180	138	136
YBR256C	1145	753	698	1134	1154	992
YBR257W	166	159	183	202	189	184
YBR258C	56	46	46	65	59	46
YBR259W	231	224	214	291	294	294
YBR260C	774	628	565	910	908	818
YBR261C	926	783	677	677	818	801
YBR262C	387	316	311	422	420	397
YBR263W	4375	3565	3728	2771	3135	2983
YBR264C	163	157	135	155	178	176
YBR265W	994	793	806	629	723	709
YBR267W	398	368	531	541	726	683
YBR268W	267	230	210	204	237	225
YBR269C	386	304	264	672	586	635
YBR270C	110	83	102	158	152	164
YBR271W	466	384	408	256	305	292
YBR272C	279	234	196	274	236	208
YBR273C	992	789	602	1060	1034	873
YBR274W	503	418	364	591	508	512
YBR275C	700	513	609	632	680	725
YBR276C	1115	926	805	878	811	735
YBR278W	239	185	223	263	266	236
YBR279W	1007	833	824	926	1005	923
YBR280C	482	401	269	599	534	470
YBR281C	644	508	510	624	658	558
YBR282W	296	254	210	204	219	199
YBR283C	3925	3051	2996	2409	2168	2118
YBR284W	111	91	83	285	247	256
YBR285W	50	33	16	44	39	27
YBR286W	10927	8723	7929	8310	7983	7774
YBR287W	2889	2237	1906	3720	2813	2688
YBR288C	768	635	639	613	612	556
YBR289W	442	367	365	544	665	591
YBR290W	687	603	497	950	822	758
YBR291C	124	93	94	146	127	140
YBR293W	298	226	220	373	387	327
YBR294W	21	11	9	86	65	75
YBR295W	649	516	521	2150	1680	1571
YBR296C	1127	754	288	588	426	364
YBR296C-A	2	1	0	2	1	1
YBR297W	250	185	133	311	269	250
YBR298C	441	257	86	299	227	157
YBR298C-A	0	0	0	1	0	0
YBR299W	15	7	1	10	6	5
YBR301W	14	10	14	140	119	100
YBR302C	0	0	0	0	0	0
YCL073C	0	0	0	0	0	0
YCL069W	0	0	0	0	0	0
YCL068C	0	0	0	0	0	0
YCL067C	0	0	0	0	0	0
YCL066W	0	0	0	0	0	0
YCL064C	4093	3718	3541	5217	5017	4967
YCL063W	299	266	312	419	469	436
YCL061C	593	459	503	653	603	627
YCL059C	1730	1450	1445	1143	1170	1123
YCL058C	142	110	95	103	127	175
YCL058W-A	5	7	15	20	23	22
YCL057C-A	387	318	315	351	396	408
YCL057W	2597	1986	1820	2570	2383	2294
YCL056C	43	43	37	60	51	46
YCL055W	434	353	354	314	298	286
YCL054W	903	853	1128	967	1181	1165
YCL052C	913	722	548	908	761	701
YCL051W	1028	814	552	764	755	658
YCL050C	2653	2280	2090	1776	1756	1636
YCL049C	437	367	330	1335	1263	1216
YCL048W-A	0	5	1	15	17	18
YCL048W	28	23	12	38	33	19
YCL047C	340	277	240	307	265	287
YCL045C	3283	2716	2806	3128	2791	2607
YCL044C	227	192	174	286	258	275
YCL043C	14897	11786	10154	14668	14075	13885
YCL042W	14	24	15	32	19	21
YCL040W	7744	5379	2214	10843	8669	7852
YCL039W	423	302	247	628	560	563
YCL038C	275	246	232	822	675	683
YCL037C	1462	1106	1350	787	1044	1120
YCL036W	320	265	436	310	380	351
YCL035C	1308	1071	897	2618	2378	2245
YCL034W	717	581	444	710	643	574
YCL033C	367	285	260	453	437	437
YCL032W	366	300	194	369	332	322
YCL031C	1133	943	999	1170	1279	1380
YCL030C	5574	3762	2301	775	722	689
YCL029C	543	505	454	542	666	570
YCL028W	1409	1244	1077	1076	1180	1060
YCL027W	265	211	224	172	145	139
YCL026C-B	65	51	31	339	292	267
YCL026C-A	5	6	6	52	55	42
YCL025C	171	158	120	219	204	182
YCL024W	279	279	301	477	451	411
tE(UUC)C	0	0	0	0	0	1
YCL021W-A	406	260	253	351	368	407
tL(CAA)C	0	0	0	0	0	0
YCL018W	1	2	0	1	0	0
YCL017C	1875	1486	1334	2131	2092	1884
YCL016C	260	191	178	272	350	284
YCL014W	762	630	726	949	896	945
YCL012C	202	156	146	270	214	194
YCL011C	1592	1367	1199	1265	1366	1212
YCL010C	390	362	274	465	419	417
YCL009C	5239	4040	3786	2953	3365	3293
YCL008C	365	268	243	318	349	355
YCL005W-A	920	683	742	845	846	772
snR43	2140	2383	2618	3097	2273	1989
YCL005W	253	206	218	293	331	302
YCL004W	179	155	127	257	246	194
YCL002C	305	246	277	378	362	334
YCL001W	681	522	664	444	498	441
YCL001W-A	12	9	4	16	11	8
YCL001W-B	14	9	12	8	8	7
YCR002C	1163	925	814	1102	978	937
YCR003W	445	334	372	296	269	259
YCR004C	1637	1279	1047	1266	1223	1014
YCR005C	2723	2689	3869	3367	4069	4095
tP(AGG)C	0	0	0	1	1	1
YCR007C	261	239	303	556	499	377
tN(GUU)C	0	0	0	1	0	0
YCR008W	1763	1411	1328	1589	1481	1406
YCR009C	2261	1808	1653	2268	2280	2027
YCR010C	9	4	6	18	25	17
YCR011C	1684	1329	1270	2007	1837	1698
YCR012W	69459	57042	52996	42783	39790	35889
YCR014C	176	169	177	280	279	256
YCR015C	191	147	157	207	198	167
snR33	2005	2050	2021	2536	1758	1316
tG(GCC)C	0	0	0	1	0	0
YCR016W	680	572	501	583	604	530
YCR017C	2287	1874	1920	2684	2528	2656
YCR018C	484	349	412	698	909	956
tM(CAU)C	0	0	0	0	0	0
tK(CUU)C	0	0	0	0	0	0
YCR019W	199	177	149	178	204	195
YCR020C	36	37	31	74	86	89
YCR020C-A	139	116	158	193	198	169
YCR020W-B	126	116	172	191	216	207
YCR021C	1547	1969	2034	1811	1675	1827
YCR023C	657	545	581	497	562	505
YCR024C	173	152	146	259	256	214
YCR024C-B	1934	1379	1485	1214	1418	1419
YCR024C-A	1088	821	867	723	878	865
YCR026C	796	666	700	1248	1173	1116
YCR027C	342	241	234	354	357	336
tQ(UUG)C	0	0	0	0	0	0
YCR028C	438	393	449	725	675	727
YCR028C-A	1086	962	1033	873	775	692
YCR030C	740	546	463	695	578	615
snR65	6	5	9	6	6	8
YCR031C	12849	10867	11851	5674	6394	6030
snR189	657	828	1073	901	617	474
YCR032W	815	627	715	1163	1002	1028
YCR033W	1746	1306	1264	1938	1831	1788
YCR034W	1163	888	1143	645	716	756
YCR035C	827	741	716	832	876	923
YCR036W	697	569	532	883	896	849
YCR037C	741	659	530	1037	954	973
YCR038C	222	203	140	256	215	206
YCR039C	0	0	0	0	0	0
YCR040W	0	0	0	0	0	0
YCR042C	410	319	361	475	427	442
YCR043C	414	348	412	319	338	329
YCR044C	525	400	415	415	407	377
YCR045C	14	14	3	38	24	23
YCR046C	488	338	331	302	396	309
YCR047C	208	180	191	329	410	390
YCR048W	1234	917	919	1860	2183	2234
YCR050C	0	0	0	0	0	0
YCR051W	1015	870	768	759	812	689
YCR052W	1164	997	966	1114	1281	1211
YCR053W	4050	3225	2810	2312	2310	2439
YCR054C	233	203	263	298	336	330
YCR057C	1952	1580	1822	1549	1791	1804
YCR059C	624	517	537	486	507	480
YCR060W	229	223	218	196	229	255
YCR061W	187	137	140	215	224	251
tS(CGA)C	0	0	0	0	1	1
YCR063W	60	66	63	108	116	148
YCR065W	347	253	359	342	387	439
YCR066W	245	204	204	273	287	244
YCR067C	1473	1080	1081	1311	1152	1144
YCR068W	583	419	285	914	873	865
YCR069W	1300	980	933	1883	1741	1648
YCR071C	325	287	249	241	257	223
YCR072C	383	399	621	538	741	775
YCR073C	974	711	542	1357	1242	1201
YCR073W-A	688	526	400	641	756	701
YCR075C	160	143	127	95	120	107
YCR075W-A	136	98	86	156	162	165
YCR076C	214	209	186	267	312	282
YCR077C	2628	2129	1837	2235	2373	2390
YCR079W	380	270	213	534	477	433
YCR081W	771	564	559	756	775	749
YCR082W	923	784	803	1062	1033	948
YCR083W	395	318	258	655	644	607
YCR084C	1745	1167	1143	818	896	855
YCR086W	129	104	100	210	223	219
YCR087C-A	575	479	523	491	520	488
YCR088W	4137	3182	2878	4382	4544	4278
YCR089W	202	100	96	131	84	141
YCR090C	654	585	582	520	482	446
YCR091W	497	366	128	339	223	187
YCR092C	231	206	238	270	296	265
YCR093W	3349	2571	3044	3577	3338	3485
YCR094W	388	325	303	345	283	294
YCR095C	330	256	292	362	353	346
YCR095W-A	99	111	92	147	155	141
YCR096C	0	0	0	0	0	0
YCR097W	252	153	188	325	251	282
tT(AGU)C	1	0	0	0	2	0
YCR098C	78	52	34	37	36	28
YCR099C	64	47	45	64	55	47
YCR100C	136	88	78	117	86	69
YCR101C	72	58	45	61	53	48
YCR102C	44	45	33	65	59	45
YCR104W	3	1	3	20	11	12
YCR105W	31	13	21	21	26	13
YCR106W	287	220	199	281	249	244
YCR107W	149	111	125	140	126	130
YCR108C	0	0	0	0	0	0
YDL248W	88	77	61	128	104	89
YDL247W	0	2	2	4	5	4
YDL246C	2	0	1	0	0	0
YDL245C	0	0	0	0	0	0
YDL244W	14	10	4	21	14	17
YDL243C	97	83	42	158	145	104
YDL241W	364	256	311	143	125	114
YDL240W	507	403	436	429	382	406
YDL239C	186	133	130	349	338	358
YDL238C	351	234	189	474	383	380
YDL237W	1305	994	956	849	800	782
YDL236W	1014	952	935	985	985	860
YDL235C	466	396	438	450	502	454
YDL234C	4170	3492	3350	5134	3972	3257
