	14517X1	14517X2	14517X3	14517X10	14517X11	14517X12
YOL089C	421	324	321	602	514	514
YOL088C	598	513	544	516	494	503
YOL087C	1736	1290	964	2231	1811	1697
YOL086W-A	148	111	95	241	224	235
YOL086C	100394	83119	75037	51876	48717	44045
YOL084W	153	125	60	414	299	268
YOL083W	168	148	71	385	320	270
YOL082W	917	757	541	1463	1329	1152
YOL081W	4224	2656	2396	3754	2960	3496
YOL080C	481	395	607	414	528	502
YOL078W	343	308	362	724	683	655
YOL077W-A	323	241	279	263	233	253
YOL077C	2352	1951	2107	1441	1483	1350
YOL076W	861	728	827	620	651	696
YOL075C	579	470	404	1106	1052	989
YOL073C	432	358	269	439	408	379
YOL072W	275	242	221	396	384	328
YOL071W	269	192	145	263	251	231
YOL070C	780	598	530	838	855	832
YOL069W	358	280	261	386	372	349
YOL068C	830	692	695	1122	1080	1032
YOL067C	264	213	193	265	333	343
YOL066C	283	251	298	389	416	422
YOL065C	284	192	188	267	266	186
YOL064C	1169	928	835	782	821	813
YOL063C	773	625	560	811	784	767
YOL062C	967	819	615	1130	970	893
YOL061W	1608	1305	1334	1401	1402	1430
YOL060C	666	526	393	754	661	662
YOL059W	2805	2457	1721	1448	1574	1452
YOL058W	269	168	102	159	163	152
YOL057W	1503	1235	1193	1106	1123	994
YOL056W	453	408	325	427	461	441
YOL055C	357	325	263	457	496	400
tG(GCC)O1	1	0	0	0	0	0
tN(GUU)O1	0	0	0	0	0	0
YOL054W	137	152	128	212	236	227
YOL053W	283	236	164	252	228	214
YOL052C-A	479	333	57	939	759	660
YOL052C	787	643	611	440	439	406
snR81	472	595	574	574	491	394
YOL051W	1013	636	619	1166	1063	1146
YOL049W	1381	1076	1125	982	964	882
YOL048C	497	331	210	705	537	519
YOL047C	100	84	21	290	240	167
YOL045W	1306	1006	722	2456	1876	1795
YOL044W	236	161	156	284	233	210
YOL043C	139	113	91	150	141	143
YOL042W	431	361	296	402	385	333
YOL041C	1564	1287	1485	1475	1421	1444
YOL040C	21909	17970	18918	8472	9704	9221
YOL039W	9571	7889	7854	4066	4258	4026
YOL038C-A	61	37	37	56	51	40
YOL038W	2815	2196	1842	2529	2600	2382
YOL036W	1271	934	887	1764	1681	1555
snR50	53	45	52	71	61	48
YOL034W	258	239	268	505	513	508
YOL033W	403	337	270	284	302	242
YOL032W	420	310	263	473	425	424
YOL031C	610	512	472	600	562	623
YOL030W	1858	1452	1458	1404	1456	1331
YOL029C	224	213	184	259	301	256
YOL028C	210	191	163	196	246	257
YOL027C	1731	1371	1403	1354	1412	1385
YOL026C	305	269	282	369	382	397
tS(GCU)O	2	1	1	0	3	3
YOL025W	313	243	225	386	402	371
YOL024W	6	4	3	12	11	11
YOL023W	354	300	253	431	369	360
YOL022C	1376	1204	1252	1011	986	967
tG(GCC)O2	0	0	0	0	0	0
YOL021C	1805	1508	1567	2025	1950	2013
YOL020W	948	801	878	1115	1167	1116
tY(GUA)O	0	1	1	1	1	1
YOL019W-A	1	1	1	1	0	1
YOL019W	881	694	776	1253	1132	1194
YOL018C	340	253	203	553	519	483
YOL017W	82	71	77	109	110	102
YOL016C	6339	5634	5875	4282	3980	3660
YOL015W	246	216	187	203	184	168
YOL014W	684	643	956	308	447	430
YOL013W-A	52	34	58	106	93	65
tP(UGG)O1	0	0	0	0	0	0
YOL013C	686	544	419	918	787	734
YOL012C	685	556	547	441	446	410
YOL011W	918	766	1120	1755	1921	1923
YOL010W	365	344	491	551	608	582
YOL009C	156	121	98	163	152	118
YOL008W	291	257	216	237	228	208
YOL007C	613	514	639	598	730	773
YOL006C	586	518	686	976	1071	1025
YOL005C	748	589	588	713	811	848
YOL004W	3873	2809	2669	4740	4482	4385
YOL003C	317	226	221	255	242	199
YOL002C	839	616	583	1296	1152	1160
YOL001W	229	177	163	266	259	224
YOR001W	1741	1353	1432	1369	1416	1338
YOR002W	963	749	788	858	824	806
YOR003W	148	99	98	191	190	173
YOR004W	529	427	528	271	346	378
YOR005C	386	263	249	482	412	364
YOR006C	191	153	195	167	187	193
YOR007C	5759	4836	4954	4739	4738	4404
tR(ACG)O	0	0	0	0	0	0
YOR008C	1705	1304	979	1635	1538	1455
YOR008C-A	3	2	1	1	2	0
YOR009W	81	59	83	105	94	100
YOR010C	42	31	26	53	54	47
YOR011W	451	335	362	1309	1174	1173
tT(AGU)O2	0	0	0	1	2	0
YOR011W-A	2	3	1	10	13	13
YOR012W	65	75	89	116	170	194
YOR014W	2094	1501	1247	2027	1947	1743
YOR016C	551	516	491	444	414	400
YOR017W	450	354	383	585	479	469
YOR018W	627	481	357	1061	1090	974
YOR019W	327	277	153	753	483	397
YOR020C	3719	3003	3399	3395	3173	3116
YOR020W-A	266	231	220	798	630	600
YOR021C	1265	1080	1151	1253	1139	1095
YOR022C	260	263	199	454	442	384
YOR023C	345	286	204	357	352	357
YOR025W	258	181	264	325	347	299
YOR026W	200	167	192	188	188	217
YOR027W	8238	7268	6417	10650	10823	10404
YOR028C	472	349	67	237	201	105
YOR030W	390	329	349	528	490	535
YOR031W	71	72	41	174	138	121
YOR032W-A	62	58	30	88	92	73
YOR032C	57	47	11	38	22	18
YOR033C	558	379	419	758	771	714
YOR034C	528	466	466	1348	1227	1139
YOR034C-A	71	61	56	152	111	110
YOR035C	1029	819	683	1745	1303	1137
YOR036W	639	564	414	1077	1004	836
YOR037W	283	237	215	263	251	203
YOR038C	157	123	151	253	265	277
YOR039W	933	701	715	759	832	787
YOR040W	214	184	110	231	199	205
snR9	6047	6391	7493	11184	6643	5824
YOR042W	1768	1387	1156	2203	2189	1971
snR62	22	26	33	51	35	25
YOR043W	831	640	603	988	1078	1046
YOR044W	219	132	179	362	333	341
YOR045W	482	399	383	317	330	336
YOR046C	3497	2907	3040	3066	3007	2734
YOR047C	678	564	677	927	1093	1094
YOR048C	2328	1830	1945	2710	2512	2497
YOR049C	18	19	10	17	16	17
YOR051C	2083	1821	1720	1565	1685	1626
YOR052C	1943	1547	1366	2445	2421	2269
YOR054C	707	592	386	822	701	660
YOR056C	975	883	915	962	1094	959
YOR057W	554	392	421	563	567	552
YOR058C	433	366	410	918	885	823
tK(UUU)O	24	20	19	35	42	28
YOR059C	526	418	303	800	744	659
YOR060C	242	220	194	263	263	251
YOR061W	1718	1339	1185	1261	1341	1180
YOR062C	299	184	138	825	691	533
YOR063W	66799	54735	51914	27808	27476	24873
YOR064C	112	94	100	171	143	146
YOR065W	719	468	293	306	350	304
YOR066W	266	230	287	427	438	443
