,log2 Fold Change,-log10 P-Value
YAL062W,1.8231076186855375,3.795972497579593
YAL053W,1.136418774186519,2.7749099203878034
YAL005C,1.138912871074122,3.0655249178944803
YAR042W,1.3794540188627467,3.438137415406102
YBL106C,1.5977697396723307,3.683157609708433
YBL093C,2.0876722861956614,2.3536025974433055
YBL078C,1.4475397661852851,2.306161422578144
YBL075C,3.720918153737993,4.337159598067458
YBL071W-A,1.4805092571641094,2.2325490304285944
YBL064C,1.6196395009543645,2.4364001137982676
YBL049W,3.993047776407766,2.802872636883084
YBL033C,1.4746548604284409,2.9433979021987904
YBL008W-A,12.168701379148239,3.6533297173988144
YBR018C,1.0607216466327982,2.134621969928138
YBR046C,1.8845722726666974,3.255349140971528
YBR047W,2.206038477079619,2.4131021117691565
YBR063C,1.1495178080052924,3.0317044167790552
YBR065C,1.0617873981403896,3.0724192105055184
YBR066C,2.3159720743195176,2.2086573602517796
YBR071W,1.3577019663721122,5.004854845230144
YBR072W,4.67596635594962,4.043246248316026
YBR098W,1.1556147977262385,2.8083137399854796
YBR101C,1.1595056649215552,2.9319269448533807
YBR117C,3.607282891296574,2.383923987055525
YBR149W,1.307798379744659,3.582725833259474
YBR169C,1.400014239025333,3.0226981036710474
YBR180W,1.6714366684827586,2.0057422175824957
YBR182C,1.5567054859876739,2.1481640780196423
YBR188C,1.0849511353328003,4.277385120901274
YBR207W,1.3105706342158066,3.1463917456855097
YBR231C,1.0739791975867272,2.890738250580112
YBR241C,1.3478929448863561,2.80161952487265
YBR255W,1.047939385335685,2.739846528824722
YBR255C-A,1.1814839355812334,2.181936921087826
YBR269C,1.1337886496397755,2.613455383086337
YBR284W,1.5741967209083558,3.333952346744199
YBR294W,2.8929492270224264,2.645848195223326
YBR295W,1.768738473425514,2.473075116701956
YBR301W,3.2877590848459004,2.8251614390112207
YCL049C,1.8477486428860035,4.680607617847445
YCL039W,1.0692230697013503,2.975778422649149
YCL038C,1.5816625864034315,3.0304330992525284
YCL035C,1.2738676452508095,3.646483042868672
YCL026C-B,2.8472955917717817,3.3458587464735516
YCL026C-A,3.0255518697134827,2.8254411195951596
tP(AGG)C,13.905447611276387,3.6533297173988135
YCR068W,1.312445140770688,2.654347191379449
YCR083W,1.1234166880434977,3.1321920100788296
YCR086W,1.0754731541361138,2.4349490172424226
YDL239C,1.3889900892885683,2.6993118394210533
YDL233W,1.0961917690605794,2.3193945036851313
YDL230W,1.1054306338304105,3.3757664593087653
YDL223C,1.7347353269152967,2.5436640519078826
YDL222C,2.237265386174879,2.099077673791486
YDL176W,1.0223796591743017,2.7352945979536085
YDL169C,2.5544336363100175,3.0416081308575866
YDL149W,1.0714354660860712,2.568933611526041
YDL138W,1.1770256997031514,3.0085832528269973
YDL133W,1.1988731539170385,3.2966379477734473
YDL124W,1.5326236564617348,3.075437735946452
YDL123W,1.2744886949145664,2.5663304547739223
YDL110C,1.8327756260430674,2.341338961579689
YDL101C,1.0969131046303546,2.592964414371936
YDL085W,2.5470541930768333,2.1855353604888044
YDL059C,1.2763778626971893,2.4560246162759594
YDL057W,1.0455260232964239,4.325777166908643
YDL054C,1.0107282222393819,3.317727714154031
YDL049C,1.108735742338644,2.01148376606642
YDL021W,1.873995845587658,2.8037566905152937
YDL020C,2.5382907047463736,3.961399689140053
YDL013W,1.01844966735237,2.4045619872686883
YDL010W,1.085895846050853,3.0191210653200753
YDR001C,1.3732559832827231,2.920529676653685
YDR003W-A,1.2082598255848456,2.0235288137987073
YDR006C,1.147662179103235,2.246312522905843
YDR014W-A,2.068379134404212,3.322772114137713
YDR018C,2.7973715494212805,3.3252556280886734
YDR034C-A,14.011329160448808,2.3488641952521627
YDR043C,1.39707051841123,2.134861297137502
YDR055W,1.8122526928717975,2.4042769771585646
YDR058C,1.4906117266887633,3.5003921140346472
YDR059C,1.6158758633663468,2.0808458154238823
YDR069C,1.234817489200348,2.833964860681289
YDR104C,1.0789778689662797,2.460539820787089
YDR107C,1.0205916957680312,2.3585346342311766
YDR186C,1.5392683583980848,3.0799613818914686
YDR213W,1.917240361301722,2.80129570590467
YDR216W,1.7241111705831722,2.091986457480111
YDR218C,3.5210372365779374,2.19822665589476
YDR223W,2.7241555681737655,2.5804090258817887
YDR231C,1.0286349756365694,2.2767972269954195
YDR249C,1.2402464045804278,2.356547146955676
YDR253C,2.9558532070937673,2.8257643102666625
YDR258C,1.6403124216342324,3.143399966016203
tG(GCC)D2,3.086887570323991,2.180930727407808
YDR262W,2.1334970909259092,4.977496286636846
YDR263C,1.0873867692411785,2.098650707552432
YDR264C,1.3057315651275332,3.54786210762473
YDR270W,1.8489742982047694,3.8245853786274693
YDR273W,1.5178142208706362,3.127894671799632
YDR350C,1.1872869066515264,3.537965981383924
YDR358W,1.1011438929180737,2.1057489856764025
YDR379C-A,1.6750181123219847,2.9507228226973385
YDR380W,2.8276294471230314,3.113132212455232
YDR381C-A,1.1422902164860385,2.741056677688738
YDR391C,1.009879333290085,2.0114691550615826
YDR423C,1.2307717055729108,2.7572197525780067
YDR446W,2.2623017045310703,2.304406281409191
YDR448W,1.1291659372444516,3.0194348192512273
YDR453C,2.3189167810789315,2.1370629733724726
YDR461C-A,1.247659584361434,2.3284057068697335
YDR476C,1.479224890120862,3.133248936142575
YDR482C,1.0902384540926937,2.68123524589745
YDR490C,1.6124582649921613,4.805914820238243
YDR525W-A,1.0019996724750198,2.0230770751480005
YDR533C,1.83352661197038,4.191458879896321
YDR534C,4.184503185793219,5.249513140701404
YDR540C,1.1172974543482816,2.214086657278582
YIL146C,1.5197312646274297,2.37481439690937
YIL144W,1.1704025473075372,2.225043586357221
snR68,2.32781394721658,2.196021376607682
YIL122W,1.0622582793616855,2.049167949903319
YIL107C,1.286274114403919,2.6586006836653904
YIL099W,2.2655839534063302,2.5907586688731543
YIL055C,1.8582711006098152,2.0334453958283842
YIL046W,1.7463754995055059,3.0440058327555386
YIL024C,1.411475567724699,2.5789387491030085
YIL014C-A,1.400419201553272,2.0320392969845367
YIL011W,2.691741561700397,4.330874657288492
YIL010W,1.1090966263970217,3.3051942328770636
YIR007W,1.1621864711499748,2.5131974230509937
YIR017C,1.3167577760823976,3.5190782868302377
YIR018W,1.535259101970168,3.478792589987911
YIR033W,1.5077791562932863,2.868910371422025
YIR038C,1.0283351003750092,2.4458390378777595
Q0160,1.578562060233124,2.3586731680631967
YEL072W,1.0268351080872065,2.896499681280284
YEL067C,1.0038881709513727,2.393458090973698
YEL066W,1.1076511486533014,3.0149554948743154
YEL065W,3.1252017361902027,2.5488272353486163
YEL060C,2.2930266918417184,4.224065475071315
YEL049W,4.198357390830211,3.8162371173005636
YEL041W,1.0834616028206925,2.4322369658683045
YEL035C,4.765542443163728,3.7531736096545885
YEL020C,1.0192108252063252,3.0535945845413783
YEL012W,1.6589781269009023,3.0738517425913794
YER011W,3.724800717878669,4.599402907316755
YER033C,1.3342123978313947,2.415324599084845
YER035W,1.3702954661692994,2.09118311736677
YER037W,1.7944951581279094,3.0894912482942316
YER044C,2.153330884491603,5.3022571874179345
YER044C-A,1.3435265566209385,2.254882130938078
YER048W-A,1.0893449043683443,3.174972517960094
YER053C-A,1.43673506961516,2.3307458056777848
YER062C,2.2358293506489546,2.2530420276605074
YER069W,1.096072331592652,2.2940374556826137
YER075C,1.3175804328023752,2.60933658488443
YER081W,1.1077974383308884,2.2529056540803367
YER095W,1.3081778300731786,3.136696913474661
YER096W,1.347184194632795,2.982261152935882
YER103W,3.2142759501430738,4.692400276575508
YER104W,1.0492419080600885,3.42301848364208
YER116C,1.3663941196243587,2.278875385367478
YER119C,1.215285748840748,3.2683195292917224
YER144C,1.3071806373979313,2.9177744404609545
YER145C,2.6328489362617256,2.931865211250128
YER150W,2.1175249348196394,4.878606441168582
YER159C,1.0176015910691978,2.701154148993889
YER169W,1.4550974502366443,2.6896573854862584
YER184C,1.139903098555006,2.555061496709691
YER185W,1.830697672679251,3.208066807947908
YFL056C,1.2354132519851968,2.550167013482476
YFL042C,1.0849796861209022,2.025596786177375
YFL041W,1.1726903797110242,3.70018213970418
YFL030W,1.3922625530068977,2.3749731383743184
YFL024C,1.0606450672328875,3.6038831461297183
YFL020C,3.5830939686111947,2.2921342189286142
YFL016C,1.2035010965391923,2.1458102877404315
YFL014W,4.518521933966304,3.4922249148493827
YFR022W,1.2102838370290177,2.6782923469409523
YFR023W,1.9040693562387154,2.3524277878849724
YFR030W,1.0621847724523747,3.2425500041073674
YGL209W,1.6588583968957926,2.454952997427799
YGL208W,1.0501013675752446,2.6732108734394333
YGL184C,4.232876183486749,2.928287816251314
YGL180W,1.470972622727325,3.0694062917606124
YGL170C,1.3289108413179644,2.18370991316032
