GO biological process complete,#,#,expected,Fold Enrichment,+/-,raw P value,FDR
siderophore transmembrane transport,6,4,0.24,16.87,+,3.57E-04,3.53E-02
copper ion import,11,5,0.43,11.5,+,2.36E-04,2.52E-02
cellular iron ion homeostasis,50,18,1.98,9.11,+,3.39E-11,4.52E-08
response to metal ion,26,7,1.03,6.81,+,1.92E-04,2.28E-02
methionine biosynthetic process,38,8,1.5,5.33,+,2.89E-04,3.02E-02
sterol metabolic process,46,9,1.82,4.95,+,1.96E-04,2.23E-02
alcohol biosynthetic process,53,9,2.09,4.3,+,4.96E-04,4.49E-02
cellular response to oxidative stress,109,15,4.31,3.48,+,6.33E-05,9.14E-03
,,,,,,,
