,log2 Fold Change,-log10 P-Value
YAL005C,1.895852141835872,3.1130299678803253
YBL075C,1.2658932911714342,3.4657737659030112
YBL071W-A,1.1526827877574881,2.9649956720467436
YBL064C,2.258669917151549,2.985005916306867
YBL049W,1.6099846588237139,2.009894485528559
YBR045C,1.342408039639037,2.7094770726595434
YBR046C,1.5182940700995786,2.7390967389196583
YBR047W,2.514648700810874,3.4444139919558237
YBR053C,1.0818453073343641,2.5191819590291566
YBR072W,1.1985611389896458,2.108513371703944
YBR091C,1.0094059782761629,3.094385479913139
YBR222C,1.2347866852933074,3.1440917363800596
YBR241C,1.0001305641943423,2.221755313489089
YBR244W,1.615166972850311,2.4938903627297475
YCL049C,1.0288140243081048,3.1130626108052506
YCL026C-B,1.4702035203155763,2.01537151061003
YCL012C,1.1987412699778726,3.3096172650673887
tP(AGG)C,14.753458599475344,3.9093396934421003
YCR061W,2.019941121506812,3.0920277491723764
YDL239C,1.553521973008791,4.73020931375982
YDL218W,1.4473474740027492,2.194186758489843
YDL199C,1.222802925583404,3.30666678887796
YDL170W,1.0224540700357665,2.3331031028479696
YDL101C,1.0372526339431998,2.7060558053485804
YDL020C,1.3259794299997476,3.177734367565659
YDR003W,1.4004872219040223,2.853927733635411
YDR011W,1.2660327309510662,2.9710251298904407
YDR059C,1.180124872989069,2.210482003491279
YDR069C,1.2781144968959048,3.6450293538095706
YDR107C,1.0528247361373413,2.3075509552354694
YDR249C,1.0582541046302385,2.484296780214168
YDR256C,1.890758080550702,3.0836609594151048
YDR258C,1.059962191629054,2.3113220204527853
YDR263C,1.7161846189818257,3.020203751124713
YDR270W,1.5936153566125555,2.8863605463691298
YDR273W,1.589773810468715,3.5771420270269143
YDR309C,1.2580241927498073,2.1809183016309355
YDR353W,1.088661540238873,3.5884973394285464
YDR358W,1.102709843993331,2.33236505028813
YDR368W,1.152234621722624,2.7213982251067916
YDR379C-A,1.5361578007281338,2.364937433811561
YDR380W,2.510217912720614,3.608563061420067
YDR432W,1.0312047601438243,3.4693334622577443
YDR461C-A,1.2320017561839085,2.5383931834962006
tL(CAA)D,15.687684797906238,2.256006370886209
YDR513W,1.3298736313726753,3.221148412115108
YDR533C,2.247942401516374,3.392083332127599
YIL107C,1.0354457722562453,2.169407052668064
tK(CUU)I,13.733612724459917,3.9093396934420994
YIL024C,1.781462376572825,2.4052120617415857
YIL010W,1.0316579832583597,2.5639827111939653
YIR017C,1.2068901427075966,2.1504552652335467
YIR018W,1.4190474104101245,3.9975320398618264
YIR034C,1.1336915650653943,2.8394078790888977
YEL065W,2.2383078603984528,2.9172411534568377
YEL060C,1.2113818887113075,2.1740782217545873
YEL012W,1.3846189200808823,2.7548069524415433
YER034W,1.4275232628286383,3.250628457342214
YER053C-A,2.0521902658216784,2.17579946345131
YER062C,1.682298855882332,3.1722931277053172
YER069W,1.3380671953885208,3.1974854754784423
YER095W,1.186422455301864,3.0762311818620116
YER103W,1.471698106302186,2.680690069141087
YER145C,1.572933632309569,3.8919200929425455
YER169W,1.2563380953389838,3.1690000949594337
tY(GUA)F2,13.694621494539705,3.9093396934421007
YFR034C,1.2444079379351554,2.130767931272438
YGL209W,1.3397020544735248,2.4633492600491675
tK(UUU)G1,3.1637302292107257,2.625108087304084
YGL184C,2.297928844618849,3.6282186909960052
YGL180W,1.0154627728111725,2.107256520518866
YGL157W,1.2863007842140024,2.419537143705867
YGL039W,1.7984240731408905,4.371436798263729
YGL010W,1.4479036681078479,3.2257116557163283
tD(GUC)G1,15.741568969810356,2.1403582533621406
YGR032W,1.0946201352504425,2.3690024755500154
YGR035C,2.1827672015777364,2.134788624394746
YGR055W,1.839225259261851,3.0634906551902534
tC(GCA)G,13.753510831047608,3.9093396934421003
YGR144W,1.1969599469341503,2.058562344723389
YGR209C,1.7888104260924382,4.4418628303566
YGR281W,1.0862720110347341,2.668388460635178
YHL040C,1.2821428940118647,3.3165631906643536
YHL035C,1.5374936884598804,3.746165495872026
YHL016C,1.652845737660727,2.699340030756322
YHR006W,1.0014250879318252,2.2644990915747387
YHR008C,1.384838411365786,3.4955346429548384
