,log2 Fold Change,-log10 P-Value
YAL067C,0.1793612069578648,0.2778479139894281
YAL065C,0.9139477740495399,0.22016161942062024
YAL064W-B,0.5148674580937194,0.5333197025170927
YAL064C-A,11.99391304324418,0.30537256395115603
YAL064W,0.0695148796848684,0.014801098199159701
YAL063C-A,0.43163333840145723,0.1413556376750164
YAL062W,1.0625779222790928,3.1191947321164806
YAL061W,0.048731664188954624,0.03942949880342342
YAL060W,0.40769273669517075,0.6517228098428742
YAL059W,0.23170892658351103,0.6272667051486417
YAL058W,0.18053880765572475,0.9906903229728901
YAL056W,0.08440893258010189,1.069893635050642
YAL055W,0.25719275476763975,1.2988629517121217
YAL054C,0.2000785944937292,0.2591334814290559
YAL053W,0.745338218431322,2.776252893090759
YAL051W,0.4424802398244679,2.260622628945559
YAL049C,0.5814675346825009,2.8654284122544986
YAL048C,0.05776342752862069,0.16555433540500886
YAL047C,0.23630977916450954,0.807039696177074
YAL044W-A,0.2970935622642031,1.2359929411336534
YAL044C,0.45377436243790714,2.7315694379890223
YAL043C,0.40074860768381615,2.3911727623693415
YAL042W,0.12783179161753036,1.9008629887501685
YAL041W,0.2937342742212142,3.511037885258903
YAL040C,0.4266105558386661,2.692066306687695
YAL039C,0.8445744200201621,2.5719798808664236
YAL037C-A,1.2412144656353137,1.2732250816033495
YAL037W,0.5358018481374209,0.6830351007817488
YAL036C,0.5844672741207452,2.7996887828381873
YAL034W-A,1.0042405558945713,3.7946296651901603
YAL034C,0.41613717381339443,0.7786765152994451
YAL033W,0.2521610500096739,1.2657662583525553
YAL032C,0.45083173657161496,1.5471701570877638
YAL030W,0.5301546593772021,2.895599726973499
YAL029C,0.41689171343624026,2.1121092288191563
YAL028W,0.5007239630487934,0.8104393335546632
YAL027W,0.697342749955415,2.875749961389551
YAL026C,0.21604782722472704,1.8138997526242626
HRA1,1.7295553594520303,0.4818050702457266
YAL025C,0.023147103679692974,0.038139833861897614
YAL024C,0.7739156892541218,2.072343640004455
YAL023C,0.12892577232556546,1.5113061272832355
YAL022C,0.16496560819823072,0.492754201431926
YAL021C,0.2471879668295241,1.2440746645051464
YAL020C,0.4028103092253294,2.2296656414935416
YAL019W,0.5805142305770148,2.5536890773801435
YAL018C,11.33998845809883,0.6111102181352719
YAL017W,0.32054806429462984,0.6713720710103159
YAL016W,0.31550801885067653,1.9733563512446375
YAL015C,0.6845127334194876,1.8004693252051127
YAL014C,0.43216733425819154,1.9446429009798298
YAL013W,0.5421088687616001,1.5154396382022504
YAL012W,0.7658828602943986,3.420747488524719
YAL011W,0.7577233980232239,1.9359602496099904
YAL010C,0.5194028981405118,2.1622019253721665
YAL009W,0.3769074800987364,1.663119143522583
YAL008W,0.8356769112077972,3.2257683209592014
YAL007C,0.1369205861510321,1.047449034928881
tP(UGG)A,12.379701375916571,0.30537256395115603
YAL005C,1.621976173256825,3.331699669060154
YAL003W,0.332652914154908,0.8740008046337828
YAL002W,0.5853940854509281,3.021192818812078
YAL001C,0.2896374859309748,2.8871529710473536
YAR002W,0.1655628750085395,0.4345424799580152
YAR002C-A,0.19374802865566146,1.6238906242939097
YAR003W,0.6620016847383812,2.131819160805847
YAR007C,0.18575091821779127,1.0034184553988992
YAR008W,0.1104843048238773,0.1488334299141644
tA(UGC)A,14.917698695258082,1.0219884003908895
YAR014C,0.5081540589513344,1.979345944509941
YAR018C,0.8673065129707108,3.037674257055074
YAR019C,0.3080349710102883,1.1191827554369778
YAR020C,0.47532921725036426,0.5284612340932932
YAR027W,0.13678288905484587,0.463927376522315
YAR029W,0.2715138169590717,0.4169719205190021
YAR035W,0.7003587407731243,1.1691950309617016
YAR042W,0.8491337765037634,3.386625302030416
YAR071W,0.4050183529710669,1.140735749236944
YBL113C,0.6672060026311483,1.564092772540641
YBL108C-A,12.973457364280923,0.5973177252990829
tL(UAA)B1,13.046332609328415,0.6527735474911905
YBL107C,0.0908632371647424,0.6497785035531477
YBL106C,0.7637831621370338,2.0556798978788158
YBL105C,0.09506882821114893,0.5490062796580024
YBL104C,0.4501042295298511,1.8719018678301689
YBL103C,0.18744084780383202,0.639657494262567
YBL101C,0.3824001261007516,0.7304463532449648
YBL100W-C,0.9823076882745561,0.6996592272245888
tF(GAA)B,1.485931130243757,0.27941412917581904
YBL099W,0.2732200789172193,1.4269154271405615
YBL098W,0.4635407496682541,2.597044545347407
YBL097W,0.6360561174922363,1.5980737021972422
YBL095W,0.10803931584798403,0.6429011345579865
YBL093C,1.4663013471049176,2.8356967367146715
YBL091C-A,0.48981885242801776,1.1648520264241171
YBL090W,0.3277012232120076,1.8249007164822777
YBL089W,0.1878893232071936,1.250268927856446
YBL088C,0.12163146957946828,0.6765206141489355
YBL086C,0.3911164091288812,1.2422003633547305
YBL085W,0.17658032656248446,1.1210157605659758
YBL084C,0.7020075152118698,2.373777420006852
YBL082C,0.30265491453525206,1.5618849821470622
YBL081W,0.1912876249820664,1.712143661654668
YBL080C,0.40304109206758054,1.352959660402633
YBL079W,0.4966565926944521,2.5881099924733855
YBL078C,0.6508950353884441,1.1811960588380939
YBL075C,1.7752192104636226,2.558050521528203
YBL074C,0.7914878982890143,1.8807418494121582
snR56,0.8789585531644342,1.8248338679086915
YBL071C-B,0.44681718119867514,0.18564850803444607
YBL071W-A,1.7312899184643276,2.1352549254683457
YBL069W,0.5705530363880466,2.819203341853757
YBL068W,0.33585300158221837,2.987617432021672
YBL067C,0.24312762864385196,2.153554436472271
YBL066C,0.42858649977589963,2.142146609366203
YBL064C,1.7520366375442444,3.1171326612791113
YBL063W,0.7856702738360838,1.9563665919882418
YBL061C,0.6024690471408144,2.1491926384657893
YBL060W,0.6519309029609335,2.0569361267889943
YBL059C-A,0.23711876784375938,0.9564580800873188
YBL059W,0.5137670634490704,2.0831319682915255
YBL058W,0.2690835118850749,1.5136812492990834
YBL057C,0.39805579866319285,1.7605139050685679
YBL056W,0.2590674048781426,1.3948585403362899
YBL055C,0.19207736507021825,0.8398720309166653
YBL054W,1.1426918601036609,2.048807091299212
YBL051C,0.576195349161174,2.7103188602939228
YBL050W,0.5945454642604404,2.403101633793797
YBL049W,3.1422892828428597,3.1325243544528996
YBL047C,0.3186845551509321,1.9840945580740017
YBL046W,0.24422776892053105,1.185551868623231
YBL041W,0.23773464726965288,1.537467139693767
YBL040C,0.21490627569529766,0.6786287583670083
YBL039W-B,0.41474739753926876,0.646709923249231
YBL038W,0.22123554115272884,1.0524067166709097
YBL037W,0.6374116577446859,2.2905736397845593
YBL036C,0.156184859160273,0.6333504678342036
YBL035C,0.6968445390757296,1.7353318924870185
YBL034C,0.5930315410156808,2.0501152209983777
YBL033C,1.264083125641168,3.084317295132116
YBL032W,0.27528269763443064,2.361983874496199
YBL031W,0.44326393241842693,1.8781268081109594
YBL030C,0.2249724742374229,1.9972542520793406
YBL029W,0.12343158141548745,0.330940084264511
YBL028C,0.6622898288023537,1.6121795980449862
YBL026W,0.30176533560686475,0.7931878146231013
YBL025W,0.5146610786438205,1.71827102411464
YBL024W,0.12307657062549193,0.6762113832592075
YBL023C,0.7177601832177872,2.6144848517847854
YBL022C,0.15505919379072275,1.4974871008673702
YBL021C,0.9584295868073208,3.00535893335046
YBL020W,0.19992658653194612,1.5128314822519011
YBL019W,0.13363537850355164,0.3824994728060304
YBL018C,0.539498798539368,1.3035843937549898
YBL015W,0.6497095255064966,1.5832818552175367
YBL014C,0.5568769648648918,1.2512747701120628
YBL013W,0.43049990481319067,0.9426575527210573
YBL011W,0.4426284229719186,2.1556970772429627
YBL010C,0.8380869197794473,1.9930703459834846
YBL009W,0.9034814594743298,2.3906218461895565
YBL008W-A,10.412535647993368,0.30537256395115603
YBL008W,0.49522693546402724,2.1091337743131344
YBL007C,0.4060274858501106,3.394149972735987
YBL006C,0.43116028956155594,1.4983996483547604
YBL004W,0.18707281629998462,0.8646726114018336
YBL001C,0.4025393277347792,3.070336376869357
YBR001C,0.2555059356341501,0.6179566908445808
YBR002C,0.7309997419967939,1.8643670318820365
YBR003W,0.41105261387810876,1.390687461427805
YBR004C,0.6280487181768492,2.0183970417840023
YBR006W,0.7816732089250872,1.9259411724280093
YBR007C,0.7062097313813374,2.05714989262609
YBR008C,1.0084044863655623,2.5475689146553697
YBR011C,0.3783054717940654,2.7043388835591355
YBR013C,0.4434970924778377,0.8817504613230314
tT(AGU)B,13.248803139878255,0.6527735474911905
YBR014C,0.9748139755963087,3.355091946347757
YBR015C,0.18777532747647138,1.9205577545222292
YBR016W,0.6409130956890393,2.754489549274295
YBR017C,0.3919837261324902,1.927896728276194
YBR018C,0.7736309831759042,2.0758587405385103
YBR019C,0.5689606723451502,1.257829863935418
YBR020W,0.7716854104402149,0.9061812722543798
YBR023C,0.595527589798094,2.8136333882490163
YBR024W,0.462790567485735,1.728117137467674
YBR026C,0.3392709184578935,1.295248051738452
YBR028C,0.714701659357963,1.7541944485389815
YBR029C,0.413107637670631,1.5995826901080599
YBR030W,0.5459390428545631,2.466953454243469
YBR034C,0.5842000888135654,1.6193446116033314
YBR035C,0.4582376938665486,2.2693875670624664
YBR036C,0.3694187798871402,2.3209838251989843
YBR037C,0.7009238556400528,1.998134826782483
YBR038W,0.9176681721238,3.6279963782627274
YBR039W,0.3662723994370787,1.8369512925266838
YBR041W,0.41216916136704856,2.435838395688831
YBR042C,0.35687110130076755,1.5773555187530501
YBR043C,0.7766545813420573,2.0042630597459397
YBR044C,0.3576559858338879,2.9488705873981065
tV(UAC)B,0.3713906618674208,0.09088752856302783
YBR045C,0.9544810833825393,2.190254269735792
YBR046C,1.5684111439402308,3.374702999737328
YBR047W,2.206952799398054,3.871116007669784
YBR049C,0.3260398497886756,0.9954203510887087
YBR050C,0.4390305132662882,0.534730639457266
YBR052C,0.14512392727222462,0.7720743246956777
YBR053C,0.6957597437679615,2.1228080486405867
YBR055C,0.37437305231394274,0.927146833650774
tL(UAA)B2,12.175201030619787,0.30537256395115603
YBR056W,0.29214564738054505,0.8654124113931256
tQ(UUG)B,14.209824192105453,0.515908289327398
YBR057C,0.48781205626661917,1.705276999840353
YBR058C,0.4401816105850975,2.2967608037858045
YBR058C-A,0.1236278356768867,0.4859008400842401
YBR059C,0.5030971158435741,2.2640481378012525
YBR060C,0.1906966328427536,1.5190523197338899
YBR061C,0.22841961074968112,1.1191543483483037
YBR062C,0.07443820467316797,0.26015793036933355
YBR063C,1.14972769404424,2.0114356680421173
YBR065C,1.0779369202818028,1.9979305443544775
YBR066C,1.2051693085957618,1.7155515964253163
YBR068C,0.5789396022470452,3.634977323232564
YBR069C,0.46183770542175046,1.4768669253004068
YBR070C,0.6924803289179116,1.8240873554972676
YBR071W,0.8552881116921199,2.7732067718356226
YBR072W,2.665466864029318,3.4549198938544268
YBR072C-A,3.0780967554622185,1.2070542941889773
YBR073W,0.5209063733839109,1.5629056534636752
YBR074W,0.44653312479551566,1.3550151070135974
YBR076W,0.27016840878182274,0.956916402148253
YBR077C,0.5472728442623545,2.730935090510506
YBR078W,0.16751589257554644,2.1893714586851005
YBR080C,0.5364092396116955,3.95047710014163
YBR081C,0.27059442914591336,2.460239666101958
YBR082C,0.5297334551635887,2.9910573766220834
YBR085W,0.45395785284093665,1.111669005109225
YBR085C-A,0.4518548413393982,0.5644911509173403
YBR086C,0.2063578360156694,2.1001214566318285
YBR087W,0.3036776023486958,2.22673207320301
YBR089C-A,0.4580773207599087,1.1843553094140684
YBR090C,0.9550001360955322,1.241576812193077
YBR091C,1.1970262087953598,2.405978566896497
YBR093C,1.6731243177261925,3.850620449614625
YBR094W,0.3732704634247752,2.4430882207723146
YBR095C,0.653656786058005,2.6610274014641315
YBR096W,0.44163742977545606,2.80542180266043
YBR097W,0.3851848184406948,1.7425987866332675
YBR098W,1.0212003300937946,1.960061151234905
YBR101C,0.20989619994466782,0.8605326822802357
YBR102C,0.3425301441806137,2.5622765626244592
YBR103W,0.5624786719527404,2.598784981880568
YBR104W,0.06997833483707151,0.13276770583073189
YBR105C,1.5287159317933217,2.2921930971054354
YBR107C,0.10802280380619382,0.5376714361462996
YBR108W,0.6429829247952913,1.34314838464491
YBR109C,0.7494483660052286,4.338434064196378
YBR110W,0.24511863344512622,2.6048186205567494
YBR111W-A,0.1498806644437558,0.31220592353612187
YBR112C,0.2565346613846243,1.3938460042311993
YBR114W,0.5825985631457973,2.0583066209444807
YBR117C,1.2790743503228081,1.9734245558593337
